author,comment,likes,published_at
@shivakumarbhootham4576,I just searched for an Agentic AI full course. I chose your video because I really like your teaching style and your voice. I am definitely going to watch this from start to finish!,0,2026-05-21T18:44:37Z
@vedabharadwaj,"Sir, please create Agentic AI/ Gen AI Architect or Agentic AI system design course with different layers in the architecture for production grade systems... That will really help the community and for jobs...",3,2026-05-21T17:21:13Z
@JasvinderSingh-zh5xo,Yesterday I bought your agentic AI course on Udemy. This video is different from or a part of that course. Please let me know.,1,2026-05-21T17:03:14Z
@bandaragunarathna4340,"Krish,
You are a very special human being. Thank you - on behalf of all humanity.",34,2026-05-21T16:24:30Z
@dhackmt,Waah sir kya banaya hai,0,2026-05-21T16:11:55Z
@GoodKarmaBgg,"Sir, similar udemy course is needed",0,2026-05-21T16:09:39Z
@vnbllab,"Thanks you so much sir , after learning complete data science of 100hr from you this is incredible to learn",0,2026-05-21T15:54:00Z
@aniketvaishya8865,"Sir openai , gemini api are paid so which api i should use for free. I didn't have much money to buy them. Suggest me some api for free to use",1,2026-05-21T15:31:06Z
@tarjunrao8823,started at 21-0502026 time : 7:41,0,2026-05-21T14:11:10Z
@cyzhang-f7k,Can you upload subtitles?,0,2026-05-21T13:59:37Z
