author,comment,likes,published_at
@krishnaik06,"Join our Agentic AI Specialization bootcamp
 Visit https://krishnaik.in/liveclasses",15,2026-05-21T10:53:44Z
@CoderHey,Do I need to buy subscription of openai to continue with this course? My daily quota limit exceeded in just 4-5 runs.,0,2026-05-25T15:40:51Z
@KanishkaGupta-n7r,Thinking of starting ML/AI with Python along with DSA in C++. But everyone says web dev is better for internships. Is ML still a good choice for freshers?,0,2026-05-25T14:56:27Z
@Unsolved-Cases1,Do you make any projects in this tutorial?,0,2026-05-25T14:24:29Z
@RazaAli-s4t,what are the prerequeiestes,0,2026-05-25T13:44:07Z
@paneet-b5e,most  awaited video,0,2026-05-25T12:37:50Z
@Naveen_9_9_9_9,Hi krish if i work to download antigravity it just giving like chatgpt interface there i cant be find interface to write a code or terminal . what can i do now?,0,2026-05-25T10:34:52Z
@vsingh646,"uv add Jupiter

Google antigravity



Llm is trained with previous data",0,2026-05-25T06:49:58Z
@mratnamFL,Everything is fine but I am receiving YouTube ads of traya and your similar CNN people continuously from a year.,0,2026-05-25T06:16:48Z
@vibhavdwivedi4642,"Dear Krish, I am yet to start with this video. Do you want me to have some prior AI knowledge, so that it it easy for me to understand?",0,2026-05-25T05:10:32Z
@JaforIkbal-hz2id,"Fantastic video, really appreciate your effort!",0,2026-05-25T04:32:46Z
@manideepstories,Use this comment as a reminder to let me finish this course without distractions,18,2026-05-25T04:26:20Z
@ShuaibuYau-q9q,"Great tips, thanks for sharing!",0,2026-05-25T01:02:15Z
@Lokeshgnanasekhar,use these concepts can you please teach us on creating a real world solutions @krishnaik06,0,2026-05-24T22:58:40Z
@peyalaganesh4277,Am i the only one facing problem with Open AI credits,0,2026-05-24T20:51:09Z
@fahadahmad8231,Prerequisite for this course anyone?,0,2026-05-24T20:18:06Z
@pulkitrathore-r4o,Great video! Really enjoyed it.,0,2026-05-24T19:32:43Z
@ganeshsuresh4723,Krish because of you I got a job. Huge respect. God will give everything to u .,2,2026-05-24T17:46:03Z
@TowhidAhmed-b2d,Make a LLMOps 10 Hours course,0,2026-05-24T17:39:06Z
@respect_O,"Please bring an interview session with someone who has actually cracked an AI Engineer interview. We want to know what kind of questions companies are asking nowadays — like GenAI, LLMs, RAG, LangChain, system design, coding rounds, projects, deployment, etc. It will help students prepare for real interviews 🙏”.   Plz make video in MCP playlist add the video of FastMCP 3.0  there are very big update have came SSE,
authorization,mcp apps extention and many more etc",1,2026-05-24T17:33:15Z
@VictorJohnzon,What note-taking app do you use? Looks so amazing. Thanks,0,2026-05-24T14:14:08Z
@vishalavishala1883,Is this course for beginner,0,2026-05-24T14:11:40Z
@Unknownsoul1436,"Hi everyone, I recently purchased Ultimate RAG Bootcamp Using Langchain, LangGraph & Langsmith on Udemy. I have a few questions regarding this course and the related video:

* Which one is the most up-to-date?
* Should I start with the Udemy course first and then watch the video?
* Does the video cover the same content as the Udemy course?

I’d really appreciate any guidance. Thanks in advance!",0,2026-05-24T13:51:26Z
@GalaxyCookies76,"if you face an error "" unrecognized Module name dotenv""

solution

import os
from dotenv import load_dotenv

load_dotenv()",0,2026-05-24T12:04:30Z
@saiteja887,"Day-1
->22: 10",1,2026-05-24T11:06:48Z
@funnydiscai,"Hello sir , ap langgraph ko crypto trading ke base pe banai ye, crypto smart trading, solana meme coin trading ke base pe jisse smart trading kar sake multiple agents bana ke",0,2026-05-24T09:35:09Z
@pums12,You are amazing,0,2026-05-24T09:15:01Z
@salonimishra5280,can beginner follow this vdo ?,0,2026-05-24T08:40:48Z
@ChetanAgrawal-l5t,"Sir, can you please tell what are the prerequisites before starting this video?",0,2026-05-24T08:24:37Z
@vim2741,"sir what diff between paid class and this, pls i want to enroll",0,2026-05-24T05:46:47Z
@deepknowledge5853,Hindi language video please,0,2026-05-24T03:26:46Z
@mrsecretstatus9999,"Can i start directly? 
I am a developer work with JS (MERN)",0,2026-05-24T00:32:11Z
@theamargupta-i2p,"the guardrails + evals section is the part most agentic courses skip. i build agent workflows in production and that's exactly where they break — not the langgraph wiring, but silent tool-call failures with no eval harness to catch them. good to see vectorless rag and llm gateways in one place too.",0,2026-05-24T00:27:06Z
@TimmyTimTimJ,"os.environ[""OPENAI_API_KEY""] = os.getenv(""OPENAI_API_KEY"")

What a completely useless line of code..",0,2026-05-23T23:06:50Z
@VendamaniMani-m8g2b,Great video! Really enjoyed it.,0,2026-05-23T20:34:37Z
@syedali5699,"Nice course, but you gotta have to know little python.",1,2026-05-23T18:07:47Z
@AdityaGhige-o1e,"help me,when i download antigravirty its downloded as chatbot bot a ide how can i fix that",0,2026-05-23T17:51:29Z
@MohammedMohammed-rr8jh,"Good video, but a lot of content revolves around openAI. And also some of the functions are deprecated.",2,2026-05-23T17:48:51Z
@lunaticsaint6574,Please someone help me with the prerequisites for me to start learning with this course,0,2026-05-23T16:05:27Z
@vageeshgoswami-d8n,love  you  sir  amazing it  really  help  me  to  revising  an   evry  topic  for my  interview really  love  you  sir,0,2026-05-23T16:02:35Z
@aireddy,"Agentic AI isn’t the future anymore — it’s the present. If you’re not building with it today, you’re already behind.",1,2026-05-23T15:19:23Z
@aryanmehta8110,Great thanks a lot ! No words for your dedication. Looking forward to courses like these,1,2026-05-23T14:28:45Z
@abhigyankumar1088,40:00,0,2026-05-23T14:20:46Z
@siddheshchendvankar6184,Great Thanks Krish excellent video,1,2026-05-23T14:09:29Z
@amanarora8638,5:12:51 .mp4?,0,2026-05-23T13:30:16Z
@soumavadas1400,Bhai... Rate limit hit ho jata hai,0,2026-05-23T13:28:20Z
@ChandanSomani-hv,3.7k in 2 days 🌼🌼🌻🌻🎉🎉,1,2026-05-23T11:05:24Z
@BRSuraj-et4kx,Hello sir,0,2026-05-23T10:57:37Z
@GalaxyCookies76,"Man, you're an AI Superhero - huge respect to Krish from Pakistan.",0,2026-05-23T10:28:24Z
@hritikkumar5539,next video on langchain sandboxes,0,2026-05-23T08:28:59Z
@AVYugesh,Awesome to see all in a single video.,1,2026-05-23T08:21:16Z
@Inshball,yes yes yes 🫡,0,2026-05-23T08:07:56Z
@NAVALKUMAR-ld8bt,you are great sir❤❤❤,0,2026-05-23T07:30:13Z
@negiranbir109,Awesome bro - thanks for this.,1,2026-05-23T06:25:28Z
@HANDLECODINGWITHAI,Wow,0,2026-05-23T06:20:55Z
@johnwyck9482,00:27:26 to  01:03:57,0,2026-05-23T05:11:41Z
@BigOprim,God bless this Dude,1,2026-05-23T02:59:19Z
@UsamaYusufimam,Thank you for the great content!,0,2026-05-23T02:29:46Z
@CodeWithBalaji,17:43,0,2026-05-23T01:16:58Z
@MdShamim-i3y7m,"Thank you for this video, very enlightening!",1,2026-05-23T00:44:39Z
@RohitKumar-vz6lu,Bhai hairfall kaise control kre,0,2026-05-22T21:11:57Z
@shohan__49,sir new update of antigravity is so confusing,0,2026-05-22T20:23:04Z
@Hritik-y7i,Banger,0,2026-05-22T19:40:46Z
@alexsanders7481,"It is fascinating how connectionists spent years dismissing Symbolic AI, only to end up trying to reinvent it. What they now call an ""AI Agent"" is just a basic symbolic module that has existed in cognitive architectures for decades.
On my desk lies a 100-page A4 manual, typed in 10pt font, detailing how to construct these exact modules: 50 pages for the Core Module rules and methodologies, and another 50 pages for External Modules. This knowledge was accumulated over decades by multidisciplinary experts: cognitivists, linguists, ontologists, and software engineers.
Yet modern connectionists, who lack basic understanding of proper module architecture, claim they can teach people how to build symbolic modules for their AI in a ""10-hour course."" While symbolists spent decades learning through rigorous practice, connectionists pretend it can be mastered in 10 hours by some magic. This is a blatant deception.
I have a question for the author of this video. It is a well-known fact that these so-called ""AI agents"" (which are essentially poorly constructed symbolic modules) have already caused massive financial and reputational damage to companies. Do you really want people to lose even more money because of this lack of understanding?
Here is what the actual data shows:
1. Air Canada: Their autonomous support AI agent independently invented a fake refund policy, forcing a passenger into a lawsuit. The court rejected the airline's defense and ordered them to pay C$812.02 in damages and court fees, setting a legal precedent where companies are fully liable for their AI agents' hallucinations.
2. Chevrolet of Watsonville: Their sales AI agent, built on pure LLM logic, was manipulated into making a legally binding offer to sell a $76,000 Chevy Tahoe for just $1. The dealership suffered an immediate brand crisis with 20+ million viral views, forcing them to shut down the tool to prevent massive direct financial losses.
3. PocketOS: In April 2026, an autonomous coding AI agent (powered by Claude Opus 4.6 in Cursor) encountered a minor credential mismatch. Operating entirely on its own initiative without a strict, deterministic Core Module to block destructive behavior, the agent misused an API token and deleted the startup's entire live production database and all volume-level backups in just 9 seconds, leaving the company in total chaos and forcing them to roll back to a 3-month-old archive.",0,2026-05-22T19:10:07Z
@rocksta-s8x,Do we need any pre requisite to do this course,0,2026-05-22T18:51:00Z
@InfiniteLoopGuy1,Bro is back with banger video 🔥🔥🙏🙏,1,2026-05-22T18:28:21Z
@N-slave,plz use vscode or cursor.. seeing jupyter makes me feel like i attending a college lecture,0,2026-05-22T15:01:56Z
@saikatmanna-b1i,"Sir, I have become a big fan of yours. Really your way of teaching really touches. Really benifitted by your fantastic tutorials. I decited to move forward in Gen AI career recently. Still learning, and your videos really helped me a lot. Thanks Sir. Really appreciate.",3,2026-05-22T14:23:42Z
@vipulmapara5201,is this course on udemy?,0,2026-05-22T14:21:22Z
@bajrabahu581,Love and respect 🎉,1,2026-05-22T14:01:39Z
@RoshanNikam-r3s,What are the prerequisite,0,2026-05-22T13:11:07Z
@ragulmarley4900,Great sir 😊,0,2026-05-22T13:03:11Z
@a3rdtierguy864,"What is prerequisites for this video please help me anyone i have background in pern+mern and c++,java.",3,2026-05-22T12:44:27Z
@mrsingh9761,What are the prerequisites for this course?,0,2026-05-22T12:34:10Z
@rambabuposa5082,"Fantastic vidoe Krish, love your content on all up-todate AI concepts",1,2026-05-22T11:11:24Z
@vijayprajapati5001,Can you make your video in Hindi,0,2026-05-22T10:23:32Z
@kirankumarmanda,Your videos are great help to us. Don't you think you should hide the APIs in the Video ?? @krishnaik06,0,2026-05-22T08:22:17Z
@stiphen-j4z,i wish this is the only video i need,1,2026-05-22T08:14:40Z
@chandranshuyadav3515,Thank you Krish is this course biginner friendly .. or are there any pre requisite before getting into this video ..,0,2026-05-22T07:46:44Z
@siblyanis2947,Here we go 🎉,1,2026-05-22T07:10:29Z
@hasibahmad3660,"Though I never worked in the space of AI, I feel like we need to keep calling llm api as less as possible",4,2026-05-22T05:13:38Z
@RudraSahu-vj5eu,Well sir I expected this from you,0,2026-05-22T04:25:37Z
@KartikD97,Gen AI complete full long video please,2,2026-05-22T03:24:08Z
@prashantgupta2172,Bhai hindi me bhi bana do,0,2026-05-22T03:15:29Z
@imranurrehman264,"doing great job ,,,,",0,2026-05-22T02:36:36Z
@19saurav,"In Hindi too, please?",0,2026-05-22T01:46:14Z
@EM-nr9hj,05:02:29,0,2026-05-22T00:56:57Z
@champ7387,"It was a great course.. great learnings.. everything is covered which is a hot topic in the market.. Thank you @Krish..

question: How can one apply these learnings to real life & generate income stream apart from JOB? Can you make a short video linked to this learning?",0,2026-05-21T22:00:38Z
@Pavesh2004,what is the different you tube vs specialization bootcamp.,0,2026-05-21T19:34:21Z
@SGiriShankar-l4z,"7:47
37:40
47:30",0,2026-05-21T19:08:29Z
